torch implementation took 7.080 seconds to generate 1.486 seconds of audio
         3819036 function calls (3747018 primitive calls) in 9.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.039    0.039 prefixes.py:1(<module>)
       26    0.000    0.000    0.039    0.001 prefixes.py:33(__new__)
        2    0.000    0.000    0.038    0.019 _pytree.py:1(<module>)
        1    0.000    0.000    0.038    0.038 cparser.py:307(_parse)
 1472/403    0.014    0.000    0.038    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.037    0.037 patches.py:1(<module>)
     2152    0.014    0.000    0.037    0.000 inspect.py:2124(_signature_from_function)
        1    0.000    0.000    0.036    0.036 _windows.py:1(<module>)
     1786    0.023    0.000    0.036    0.000 library.py:113(impl)
        1    0.000    0.000    0.035    0.035 polyhedron.py:1(<module>)
      535    0.000    0.000    0.035    0.000 __init__.py:182(register)
      894    0.001    0.000    0.035    0.000 typing.py:802(__getitem__)
     2098    0.006    0.000    0.034    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
384460/384271    0.032    0.000    0.034    0.000 {built-in method builtins.isinstance}
       88    0.000    0.000    0.033    0.000 _pytree.py:161(register_pytree_node)
        1    0.000    0.000    0.033    0.033 return_types.py:1(<module>)
       86    0.000    0.000    0.033    0.000 dispatcher.py:178(add)
       86    0.000    0.000    0.032    0.000 dispatcher.py:222(reorder)
       85    0.000    0.000    0.032    0.000 return_types.py:13(pytree_register_structseq)
      307    0.001    0.000    0.032    0.000 typing.py:818(__getitem_inner__)
      200    0.001    0.000    0.032    0.000 basic.py:1326(replace)
    13979    0.006    0.000    0.032    0.000 posixpath.py:164(islink)
        1    0.000    0.000    0.032    0.032 axes3d.py:1(<module>)
       75    0.000    0.000    0.032    0.000 dimensions.py:52(set_quantity_scale_factor)
7770/7714    0.004    0.000    0.031    0.000 {built-in method builtins.any}
       52    0.001    0.000    0.031    0.001 sympy_parser.py:912(parse_expr)
     5397    0.002    0.000    0.031    0.000 re.py:198(search)
       10    0.000    0.000    0.031    0.003 _base.py:704(__init_subclass__)
      221    0.001    0.000    0.031    0.000 function.py:162(__init__)
     2855    0.027    0.000    0.030    0.000 typing.py:120(_type_check)
      216    0.009    0.000    0.030    0.000 artist.py:1484(get_setters)
        1    0.005    0.005    0.029    0.029 facts.py:134(apply_beta_to_alpha_route)
        1    0.000    0.000    0.029    0.029 _jit_internal.py:1(<module>)
    10252    0.029    0.000    0.029    0.000 {built-in method posix.stat}
      180    0.020    0.000    0.028    0.000 __init__.py:313(namedtuple)
 1376/200    0.001    0.000    0.028    0.000 basic.py:1550(walk)
     3200    0.004    0.000    0.028    0.000 _print_helpers.py:27(__str__)
     8694    0.003    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.027    0.027 _minimize.py:1(<module>)
     3890    0.009    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     1566    0.002    0.000    0.027    0.000 inspect.py:714(getabsfile)
      432    0.001    0.000    0.027    0.000 dataclasses.py:375(_create_fn)
    13979    0.025    0.000    0.025    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.024    0.024 physical.py:154(torch_full_force_template)
        2    0.000    0.000    0.024    0.012 numbers.py:1(<module>)
      520    0.000    0.000    0.024    0.000 typing.py:830(<genexpr>)
        2    0.000    0.000    0.024    0.012 combining.py:1(<module>)
    18374    0.010    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        7    0.024    0.003    0.024    0.003 {method 'float' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.024    0.024 minimize_trustregion_constr.py:1(<module>)
     3200    0.002    0.000    0.024    0.000 printer.py:371(__call__)
     1343    0.004    0.000    0.024    0.000 typing.py:659(__init__)
        1    0.000    0.000    0.023    0.023 combining.py:24(ConcaterIterDataPipe)
     1870    0.011    0.000    0.023    0.000 facts.py:499(deduce_all_facts)
      132    0.001    0.000    0.023    0.000 _docstring.py:38(__call__)
        1    0.000    0.000    0.023    0.023 _fontconfig_pattern.py:1(<module>)
 2433/958    0.004    0.000    0.023    0.000 sorting.py:203(ordered)
  122/111    0.000    0.000    0.023    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.023    0.023 _constraints.py:1(<module>)
       23    0.000    0.000    0.022    0.001 mul.py:718(_eval_power)
  142/129    0.000    0.000    0.022    0.000 expr.py:230(__pow__)
     3200    0.002    0.000    0.022    0.000 str.py:982(sstr)
     2018    0.019    0.000    0.022    0.000 _ops.py:547(__init__)
      316    0.000    0.000    0.022    0.000 sre_compile.py:598(_code)
  142/129    0.000    0.000    0.022    0.000 expr.py:225(_pow)
        1    0.000    0.000    0.022    0.022 __init__.py:25(<module>)
        1    0.000    0.000    0.021    0.021 debug_prims.py:1(<module>)
      126    0.002    0.000    0.021    0.000 __init__.py:261(_make_prim)
    13738    0.007    0.000    0.021    0.000 facts.py:204(<genexpr>)
      415    0.003    0.000    0.021    0.000 wrappers.py:221(_out_wrapper)
        1    0.000    0.000    0.021    0.021 point.py:1(<module>)
    14114    0.013    0.000    0.021    0.000 posixpath.py:71(join)
     4037    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.021    0.021 partfrac.py:1(<module>)
        1    0.000    0.000    0.021    0.021 decorator.py:60(xthreaded)
        1    0.000    0.000    0.021    0.021 decorator.py:11(threaded_factory)
     1945    0.021    0.000    0.021    0.000 {built-in method io.open_code}
        5    0.000    0.000    0.021    0.004 polyhedron.py:34(__new__)
     3136    0.002    0.000    0.021    0.000 posixpath.py:372(abspath)
        1    0.000    0.000    0.021    0.021 impl.py:1(<module>)
        1    0.000    0.000    0.020    0.020 entity.py:1(<module>)
        1    0.000    0.000    0.020    0.020 expr.py:1(<module>)
      102    0.000    0.000    0.019    0.000 dataclasses.py:996(dataclass)
        2    0.000    0.000    0.019    0.010 model.py:1(<module>)
        1    0.000    0.000    0.019    0.019 c_parser.py:130(parse)
     2092    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        1    0.000    0.000    0.019    0.019 yacc.py:323(parse)
        1    0.004    0.004    0.019    0.019 yacc.py:1001(parseopt_notrack)
48948/48790    0.013    0.000    0.019    0.000 {method 'join' of 'str' objects}
    11521    0.011    0.000    0.019    0.000 inspect.py:2489(__init__)
       13    0.000    0.000    0.019    0.001 _docstring.py:51(__missing__)
      936    0.003    0.000    0.019    0.000 quantities.py:27(__new__)
        1    0.000    0.000    0.018    0.018 cparser.py:50(_get_parser)
        1    0.000    0.000    0.018    0.018 c_parser.py:19(__init__)
  755/504    0.002    0.000    0.018    0.000 typing.py:347(__getitem__)
  147/130    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        2    0.000    0.000    0.018    0.009 _base.py:1(<module>)
  147/130    0.006    0.000    0.018    0.000 {built-in method _imp.exec_dynamic}
      533    0.002    0.000    0.017    0.000 function.py:122(arity)
        1    0.000    0.000    0.017    0.017 mul.py:1(<module>)
     1946    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.005    0.005    0.017    0.017 {built-in method torch._C._initExtension}
     4290    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      382    0.002    0.000    0.017    0.000 _util.py:343(getfullargspec_no_self)
        1    0.000    0.000    0.017    0.017 async_case.py:1(<module>)
     3580    0.013    0.000    0.017    0.000 inspect.py:2772(__init__)
        1    0.000    0.000    0.017    0.017 colors.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _sketches.py:1(<module>)
 2551/316    0.007    0.000    0.017    0.000 sre_compile.py:71(_compile)
       30    0.003    0.000    0.017    0.001 __init__.py:770(_rc_params_in_file)
       42    0.000    0.000    0.017    0.000 dispatcher.py:147(_)
       26    0.000    0.000    0.017    0.001 _jit_internal.py:860(_check_overload_body)
       26    0.000    0.000    0.017    0.001 _sources.py:119(parse_def)
       35    0.000    0.000    0.017    0.000 core.py:58(_)
     1980    0.003    0.000    0.016    0.000 assumptions.py:449(__init__)
        1    0.000    0.000    0.016    0.016 legend.py:1(<module>)
274028/270252    0.015    0.000    0.016    0.000 {built-in method builtins.len}
       86    0.000    0.000    0.016    0.000 conflict.py:24(ambiguities)
        1    0.000    0.000    0.016    0.016 textpath.py:1(<module>)
       86    0.003    0.000    0.016    0.000 conflict.py:27(<setcomp>)
       86    0.000    0.000    0.016    0.000 conflict.py:56(ordering)
        1    0.000    0.000    0.016    0.016 _axes.py:46(Axes)
     2014    0.001    0.000    0.016    0.000 symbol.py:285(__new__)
      470    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
     9452    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
      996    0.016    0.000    0.016    0.000 {built-in method torch._C._jit_get_operation}
   138455    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.015    0.015 art3d.py:5(<module>)
     1619    0.003    0.000    0.015    0.000 inspect.py:692(getsourcefile)
      216    0.008    0.000    0.015    0.000 artist.py:1420(<listcomp>)
     3156    0.010    0.000    0.015    0.000 posixpath.py:334(normpath)
  537/153    0.000    0.000    0.015    0.000 basic.py:1556(<listcomp>)
32385/32283    0.006    0.000    0.015    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.015    0.015 _mstats_basic.py:1(<module>)
1727/1567    0.004    0.000    0.015    0.000 sorting.py:10(default_sort_key)
106129/99259    0.009    0.000    0.015    0.000 {built-in method builtins.hash}
        6    0.000    0.000    0.015    0.002 core.py:1(<module>)
       20    0.000    0.000    0.014    0.001 _jit_internal.py:888(_overload)
        1    0.000    0.000    0.014    0.014 immutable.py:1(<module>)
       26    0.000    0.000    0.014    0.001 _sources.py:11(get_source_lines_and_file)
        5    0.000    0.000    0.014    0.003 polyhedron.py:388(<listcomp>)
       50    0.000    0.000    0.014    0.000 iterables.py:2604(minlex)
     3200    0.001    0.000    0.014    0.000 printer.py:290(doprint)
        1    0.000    0.000    0.014    0.014 ctx_fp.py:1(<module>)
       26    0.000    0.000    0.014    0.001 inspect.py:970(getsourcelines)
        1    0.000    0.000    0.014    0.014 _shgo.py:1(<module>)
     2269    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.013    0.013 geo.py:1(<module>)
      740    0.001    0.000    0.013    0.000 typing.py:689(copy_with)
        1    0.000    0.000    0.013    0.013 facts.py:94(deduce_alpha_implications)
        1    0.000    0.000    0.013    0.013 polytools.py:1(<module>)
     3074    0.007    0.000    0.013    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.013    0.013 offsetbox.py:1(<module>)
     6559    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
24650/24578    0.007    0.000    0.013    0.000 logic.py:403(__new__)
        1    0.000    0.000    0.013    0.013 base_events.py:1(<module>)
6113/3891    0.007    0.000    0.013    0.000 basic.py:350(__eq__)
        1    0.000    0.000    0.013    0.013 ctx_base.py:1(<module>)
      386    0.007    0.000    0.013    0.000 doccer.py:180(indentcount_lines)
     3200    0.011    0.000    0.013    0.000 printer.py:294(_print)
        1    0.000    0.000    0.013    0.013 c_lexer.py:57(build)
        1    0.000    0.000    0.013    0.013 lex.py:863(lex)
      424    0.001    0.000    0.012    0.000 typing.py:677(__getitem__)
       86    0.001    0.000    0.012    0.000 conflict.py:62(<listcomp>)
        1    0.004    0.004    0.012    0.012 facts.py:74(transitive_closure)
        1    0.000    0.000    0.012    0.012 _discrete_distns.py:5(<module>)
    74178    0.010    0.000    0.012    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.012    0.012 lex.py:211(readtab)
     2018    0.012    0.000    0.012    0.000 {built-in method torch._C._get_operation_overload}
        1    0.000    0.000    0.012    0.012 reinplace.py:1(<module>)
        2    0.000    0.000    0.012    0.006 core.py:225(read_style_directory)
        1    0.000    0.000    0.012    0.012 multiarray.py:1(<module>)
      125    0.001    0.000    0.012    0.000 _distn_infrastructure.py:704(_construct_argparser)
   185277    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.012    0.006 overrides.py:1(<module>)
        1    0.000    0.000    0.012    0.012 hub.py:1(<module>)
     2920    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       13    0.000    0.000    0.012    0.001 dimensions.py:240(__truediv__)
     3090    0.012    0.000    0.012    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
       19    0.000    0.000    0.012    0.001 _distn_infrastructure.py:3158(__init__)
       28    0.000    0.000    0.011    0.000 __init__.py:847(rc_params_from_file)
        1    0.000    0.000    0.011    0.011 intersection.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _ltisys.py:1(<module>)
     5851    0.001    0.000    0.011    0.000 conflict.py:19(ambiguous)
     3162    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       26    0.001    0.000    0.011    0.000 inspect.py:959(getblock)
37918/37675    0.009    0.000    0.011    0.000 logic.py:236(__hash__)
      367    0.001    0.000    0.011    0.000 permutations.py:1622(__call__)
    12547    0.002    0.000    0.011    0.000 conflict.py:43(edge)
     1527    0.003    0.000    0.011    0.000 tokenize.py:429(_tokenize)
        1    0.000    0.000    0.011    0.011 axis.py:1(<module>)
    18374    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
